date,code,fundlist
20120201,zh011,A-100.0/B-0.0/C-0.0
20120201,zh021,A-100.0/B-0.0/C-0.0
20120201,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20120201,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20120201,zh051,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120201,zh061,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120201,zh071,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120201,zh081,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120201,zh091,B-100.0/C-0.0/D-0.0/E-0.0
20120201,zh101,B-100.0/C-0.0/D-0.0/E-0.0
20120502,zh011,A-0.0/B-87.0/C-13.0
20120502,zh021,A-0.1/B-73.9/C-26.0
20120502,zh031,A-0.0/B-74.0/C-26.0/D-0.0
20120502,zh041,A-0.0/B-74.0/C-26.0/D-0.0
20120502,zh051,A-0.0/B-61.0/C-26.0/D-0.0/E-13.0
20120502,zh061,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20120502,zh071,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20120502,zh081,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20120502,zh091,B-35.0/C-52.0/D-0.0/E-13.0
20120502,zh101,B-35.0/C-52.0/D-0.0/E-13.0
20120801,zh011,A-100.0/B-0.0/C-0.0
20120801,zh021,A-100.0/B-0.0/C-0.0
20120801,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20120801,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20120801,zh051,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120801,zh061,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120801,zh071,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120801,zh081,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120801,zh091,B-100.0/C-0.0/D-0.0/E-0.0
20120801,zh101,B-100.0/C-0.0/D-0.0/E-0.0
20121101,zh011,A-100.0/B-0.0/C-0.0
20121101,zh021,A-100.0/B-0.0/C-0.0
20121101,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20121101,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20121101,zh051,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20121101,zh061,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20121101,zh071,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20121101,zh081,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20121101,zh091,B-87.0/C-0.0/D-0.0/E-13.0
20121101,zh101,B-87.0/C-0.0/D-0.0/E-13.0
20130201,zh011,A-0.0/B-87.0/C-13.0
20130201,zh021,A-0.0/B-74.0/C-26.0
20130201,zh031,A-0.0/B-61.0/C-26.0/D-13.0
20130201,zh041,A-0.0/B-48.0/C-26.0/D-26.0
20130201,zh051,A-0.0/B-35.0/C-26.0/D-26.0/E-13.0
20130201,zh061,A-0.0/B-22.0/C-39.0/D-26.0/E-13.0
20130201,zh071,A-0.0/B-9.0/C-39.0/D-39.0/E-13.0
20130201,zh081,A-0.0/B-0.0/C-39.0/D-48.0/E-13.0
20130201,zh091,B-0.0/C-52.0/D-35.0/E-13.0
20130201,zh101,B-0.0/C-52.0/D-35.0/E-13.0
20130502,zh011,A-0.0/B-87.0/C-13.0
20130502,zh021,A-0.0/B-74.0/C-26.0
20130502,zh031,A-61.0/B-0.0/C-26.0/D-13.0
20130502,zh041,A-48.0/B-0.0/C-26.0/D-26.0
20130502,zh051,A-35.0/B-0.0/C-26.0/D-26.0/E-13.0
20130502,zh061,A-22.0/B-0.0/C-39.0/D-26.0/E-13.0
20130502,zh071,A-9.0/B-0.0/C-39.0/D-39.0/E-13.0
20130502,zh081,A-0.0/B-0.0/C-39.0/D-52.0/E-9.0
20130502,zh091,B-0.0/C-48.0/D-52.0/E-0.0
20130502,zh101,B-0.0/C-41.5/D-58.5/E-0.0
20130801,zh011,A-100.0/B-0.0/C-0.0
20130801,zh021,A-100.0/B-0.0/C-0.0
20130801,zh031,A-87.0/B-0.0/C-0.0/D-13.0
20130801,zh041,A-74.0/B-0.0/C-0.0/D-26.0
20130801,zh051,A-74.0/B-0.0/C-0.0/D-26.0/E-0.0
20130801,zh061,A-74.0/B-0.0/C-0.0/D-26.0/E-0.0
20130801,zh071,A-61.0/B-0.0/C-0.0/D-39.0/E-0.0
20130801,zh081,A-48.0/B-0.0/C-0.0/D-52.0/E-0.0
20130801,zh091,B-48.0/C-0.0/D-52.0/E-0.0
20130801,zh101,B-41.5/C-0.0/D-58.5/E-0.0
20131101,zh011,A-100.0/B-0.0/C-0.0
20131101,zh021,A-100.0/B-0.0/C-0.0
20131101,zh031,A-87.0/B-0.0/C-0.0/D-13.0
20131101,zh041,A-74.0/B-0.0/C-0.0/D-26.0
20131101,zh051,A-61.0/B-0.0/C-0.0/D-26.0/E-13.0
20131101,zh061,A-61.0/B-0.0/C-0.0/D-26.0/E-13.0
20131101,zh071,A-48.0/B-0.0/C-0.0/D-39.0/E-13.0
20131101,zh081,A-35.0/B-0.0/C-0.0/D-52.0/E-13.0
20131101,zh091,B-35.0/C-0.0/D-52.0/E-13.0
20131101,zh101,B-28.5/C-0.0/D-58.5/E-13.0
20140207,zh011,A-100.0/B-0.0/C-0.0
20140207,zh021,A-100.0/B-0.0/C-0.0
20140207,zh031,A-87.0/B-0.0/C-0.0/D-13.0
20140207,zh041,A-74.0/B-0.0/C-0.0/D-26.0
20140207,zh051,A-74.0/B-0.0/C-0.0/D-26.0/E-0.0
20140207,zh061,A-74.0/B-0.0/C-0.0/D-26.0/E-0.0
20140207,zh071,A-61.0/B-0.0/C-0.0/D-39.0/E-0.0
20140207,zh081,A-48.0/B-0.0/C-0.0/D-52.0/E-0.0
20140207,zh091,B-48.0/C-0.0/D-52.0/E-0.0
20140207,zh101,B-41.5/C-0.0/D-58.5/E-0.0
20140505,zh011,A-100.0/B-0.0/C-0.0
20140505,zh021,A-100.0/B-0.0/C-0.0
20140505,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20140505,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20140505,zh051,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20140505,zh061,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20140505,zh071,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20140505,zh081,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20140505,zh091,B-100.0/C-0.0/D-0.0/E-0.0
20140505,zh101,B-100.0/C-0.0/D-0.0/E-0.0
20140801,zh011,A-0.0/B-87.0/C-13.0
20140801,zh021,A-0.0/B-74.0/C-26.0
20140801,zh031,A-0.0/B-74.0/C-26.0/D-0.0
20140801,zh041,A-0.0/B-74.0/C-26.0/D-0.0
20140801,zh051,A-0.0/B-61.0/C-26.0/D-0.0/E-13.0
20140801,zh061,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20140801,zh071,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20140801,zh081,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20140801,zh091,B-35.0/C-52.0/D-0.0/E-13.0
20140801,zh101,B-35.0/C-52.0/D-0.0/E-13.0
20141103,zh011,A-0.0/B-87.0/C-13.0
20141103,zh021,A-0.0/B-74.0/C-26.0
20141103,zh031,A-0.0/B-61.0/C-26.0/D-13.0
20141103,zh041,A-0.0/B-48.0/C-26.0/D-26.0
20141103,zh051,A-0.0/B-35.0/C-26.0/D-26.0/E-13.0
20141103,zh061,A-0.0/B-22.0/C-39.0/D-26.0/E-13.0
20141103,zh071,A-0.0/B-9.0/C-39.0/D-39.0/E-13.0
20141103,zh081,A-0.0/B-0.0/C-39.0/D-52.0/E-9.0
20141103,zh091,B-0.0/C-52.0/D-48.0/E-0.0
20141103,zh101,B-0.0/C-52.0/D-48.0/E-0.0
20150202,zh011,A-0.0/B-87.0/C-13.0
20150202,zh021,A-0.0/B-74.0/C-26.0
20150202,zh031,A-61.0/B-0.0/C-26.0/D-13.0
20150202,zh041,A-48.0/B-0.0/C-26.0/D-26.0
20150202,zh051,A-47.9/B-0.1/C-26.0/D-26.0/E-0.0
20150202,zh061,A-35.0/B-0.0/C-39.0/D-26.0/E-0.0
20150202,zh071,A-22.0/B-0.0/C-39.0/D-39.0/E-0.0
20150202,zh081,A-8.9/B-0.1/C-39.0/D-52.0/E-0.0
20150202,zh091,B-0.0/C-48.0/D-52.0/E-0.0
20150202,zh101,B-0.0/C-41.5/D-58.5/E-0.0
20150504,zh011,A-0.0/B-87.0/C-13.0
20150504,zh021,A-0.0/B-74.0/C-26.0
20150504,zh031,A-0.0/B-61.0/C-26.0/D-13.0
20150504,zh041,A-0.0/B-48.0/C-26.0/D-26.0
20150504,zh051,A-0.0/B-35.0/C-26.0/D-26.0/E-13.0
20150504,zh061,A-0.0/B-22.0/C-39.0/D-26.0/E-13.0
20150504,zh071,A-0.0/B-9.0/C-39.0/D-39.0/E-13.0
20150504,zh081,A-0.0/B-0.0/C-39.0/D-52.0/E-9.0
20150504,zh091,B-0.0/C-52.0/D-48.0/E-0.0
20150504,zh101,B-0.0/C-52.0/D-48.0/E-0.0
20150803,zh011,A-0.0/B-87.0/C-13.0
20150803,zh021,A-0.0/B-74.0/C-26.0
20150803,zh031,A-61.0/B-0.0/C-26.0/D-13.0
20150803,zh041,A-48.0/B-0.0/C-26.0/D-26.0
20150803,zh051,A-47.8/B-0.2/C-26.0/D-26.0/E-0.0
20150803,zh061,A-34.9/B-0.1/C-39.0/D-26.0/E-0.0
20150803,zh071,A-22.0/B-0.0/C-39.0/D-39.0/E-0.0
20150803,zh081,A-9.0/B-0.0/C-39.0/D-52.0/E-0.0
20150803,zh091,B-0.0/C-48.0/D-52.0/E-0.0
20150803,zh101,B-0.0/C-41.5/D-58.5/E-0.0
20151102,zh011,A-100.0/B-0.0/C-0.0
20151102,zh021,A-100.0/B-0.0/C-0.0
20151102,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20151102,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20151102,zh051,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20151102,zh061,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20151102,zh071,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20151102,zh081,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20151102,zh091,B-100.0/C-0.0/D-0.0/E-0.0
20151102,zh101,B-100.0/C-0.0/D-0.0/E-0.0
20160201,zh011,A-100.0/B-0.0/C-0.0
20160201,zh021,A-100.0/B-0.0/C-0.0
20160201,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20160201,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20160201,zh051,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20160201,zh061,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20160201,zh071,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20160201,zh081,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20160201,zh091,B-100.0/C-0.0/D-0.0/E-0.0
20160201,zh101,B-100.0/C-0.0/D-0.0/E-0.0
20160503,zh011,A-100.0/B-0.0/C-0.0
20160503,zh021,A-100.0/B-0.0/C-0.0
20160503,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20160503,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20160503,zh051,A-99.9/B-0.1/C-0.0/D-0.0/E-0.0
20160503,zh061,A-99.9/B-0.1/C-0.0/D-0.0/E-0.0
20160503,zh071,A-99.9/B-0.1/C-0.0/D-0.0/E-0.0
20160503,zh081,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20160503,zh091,B-100.0/C-0.0/D-0.0/E-0.0
20160503,zh101,B-100.0/C-0.0/D-0.0/E-0.0
20160801,zh011,A-0.0/B-87.0/C-13.0
20160801,zh021,A-0.0/B-74.0/C-26.0
20160801,zh031,A-0.0/B-61.0/C-26.0/D-13.0
20160801,zh041,A-0.0/B-48.0/C-26.0/D-26.0
20160801,zh051,A-0.0/B-35.0/C-26.0/D-26.0/E-13.0
20160801,zh061,A-0.0/B-22.0/C-39.0/D-26.0/E-13.0
20160801,zh071,A-0.0/B-9.0/C-39.0/D-39.0/E-13.0
20160801,zh081,A-0.0/B-0.0/C-39.0/D-52.0/E-9.0
20160801,zh091,B-0.0/C-52.0/D-48.0/E-0.0
20160801,zh101,B-0.0/C-52.0/D-48.0/E-0.0
20161101,zh011,A-0.0/B-87.0/C-13.0
20161101,zh021,A-0.0/B-74.0/C-26.0
20161101,zh031,A-0.0/B-61.0/C-26.0/D-13.0
20161101,zh041,A-0.0/B-48.0/C-26.0/D-26.0
20161101,zh051,A-0.0/B-35.0/C-26.0/D-26.0/E-13.0
20161101,zh061,A-0.0/B-22.0/C-39.0/D-26.0/E-13.0
20161101,zh071,A-0.0/B-9.0/C-39.0/D-39.0/E-13.0
20161101,zh081,A-0.0/B-0.0/C-39.0/D-48.0/E-13.0
20161101,zh091,B-0.0/C-52.0/D-35.0/E-13.0
20161101,zh101,B-0.0/C-52.0/D-35.0/E-13.0
20170203,zh011,A-0.0/B-87.0/C-13.0
20170203,zh021,A-0.0/B-74.0/C-26.0
20170203,zh031,A-0.0/B-74.0/C-26.0/D-0.0
20170203,zh041,A-0.0/B-74.0/C-26.0/D-0.0
20170203,zh051,A-0.0/B-61.0/C-26.0/D-0.0/E-13.0
20170203,zh061,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20170203,zh071,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20170203,zh081,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20170203,zh091,B-35.0/C-52.0/D-0.0/E-13.0
20170203,zh101,B-35.0/C-52.0/D-0.0/E-13.0
20170502,zh011,A-0.0/B-87.0/C-13.0
20170502,zh021,A-0.1/B-73.9/C-26.0
20170502,zh031,A-0.0/B-74.0/C-26.0/D-0.0
20170502,zh041,A-0.0/B-74.0/C-26.0/D-0.0
20170502,zh051,A-0.0/B-61.0/C-26.0/D-0.0/E-13.0
20170502,zh061,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20170502,zh071,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20170502,zh081,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20170502,zh091,B-35.0/C-52.0/D-0.0/E-13.0
20170502,zh101,B-35.0/C-52.0/D-0.0/E-13.0
20170801,zh011,A-0.0/B-87.0/C-13.0
20170801,zh021,A-0.0/B-74.0/C-26.0
20170801,zh031,A-0.0/B-61.0/C-26.0/D-13.0
20170801,zh041,A-0.0/B-48.0/C-26.0/D-26.0
20170801,zh051,A-0.0/B-35.0/C-26.0/D-26.0/E-13.0
20170801,zh061,A-0.0/B-22.0/C-39.0/D-26.0/E-13.0
20170801,zh071,A-0.0/B-9.0/C-39.0/D-39.0/E-13.0
20170801,zh081,A-0.0/B-0.0/C-39.0/D-52.0/E-9.0
20170801,zh091,B-0.0/C-52.0/D-48.0/E-0.0
20170801,zh101,B-0.0/C-52.0/D-48.0/E-0.0
20171101,zh011,A-0.0/B-87.0/C-13.0
20171101,zh021,A-0.0/B-74.0/C-26.0
20171101,zh031,A-0.0/B-61.0/C-26.0/D-13.0
20171101,zh041,A-0.0/B-48.0/C-26.0/D-26.0
20171101,zh051,A-0.0/B-35.0/C-26.0/D-26.0/E-13.0
20171101,zh061,A-0.0/B-22.0/C-39.0/D-26.0/E-13.0
20171101,zh071,A-0.0/B-9.0/C-39.0/D-39.0/E-13.0
20171101,zh081,A-0.0/B-0.0/C-39.0/D-52.0/E-9.0
20171101,zh091,B-0.0/C-48.0/D-52.0/E-0.0
20171101,zh101,B-0.0/C-41.5/D-58.5/E-0.0
20180201,zh011,A-0.0/B-87.0/C-13.0
20180201,zh021,A-0.0/B-74.0/C-26.0
20180201,zh031,A-0.0/B-61.0/C-26.0/D-13.0
20180201,zh041,A-0.0/B-48.0/C-26.0/D-26.0
20180201,zh051,A-0.0/B-35.0/C-26.0/D-26.0/E-13.0
20180201,zh061,A-0.0/B-22.0/C-39.0/D-26.0/E-13.0
20180201,zh071,A-0.0/B-9.0/C-39.0/D-39.0/E-13.0
20180201,zh081,A-0.0/B-0.0/C-39.0/D-52.0/E-9.0
20180201,zh091,B-0.0/C-52.0/D-48.0/E-0.0
20180201,zh101,B-0.0/C-52.0/D-48.0/E-0.0
20180502,zh011,A-100.0/B-0.0/C-0.0
20180502,zh021,A-100.0/B-0.0/C-0.0
20180502,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20180502,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20180502,zh051,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20180502,zh061,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20180502,zh071,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20180502,zh081,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20180502,zh091,B-87.0/C-0.0/D-0.0/E-13.0
20180502,zh101,B-87.0/C-0.0/D-0.0/E-13.0
